"schoolyear","category","value","label"
"2014-15","Exiter",4.57795058321836,"4.6"
"2014-15","Mover - New District",4.24557882854634,"4.2"
"2014-15","Mover - Same District",5.70676031606672,"5.7"
"2014-15","Retired",3.48990342405619,"3.5"
"2014-15","Stayer",79.0072745516117,"79.0"
"2014-15","Switcher",2.97253229650069,"3.0"
"2015-16","Exiter",5.60712959524694,"5.6"
"2015-16","Mover - New District",4.16202500309444,"4.2"
"2015-16","Mover - Same District",6.44262903824731,"6.4"
"2015-16","Retired",3.13776457482362,"3.1"
"2015-16","Stayer",78.1253868052977,"78.1"
"2015-16","Switcher",2.52506498329001,"2.5"
"2016-17","Exiter",5.57581424341593,"5.6"
"2016-17","Mover - New District",4.76858345021038,"4.8"
"2016-17","Mover - Same District",5.90618669160044,"5.9"
"2016-17","Retired",2.95776842761415,"3.0"
"2016-17","Stayer",77.5783076203834,"77.6"
"2016-17","Switcher",3.21333956677575,"3.2"
"2017-18","Exiter",5.36219136772005,"5.4"
"2017-18","Mover - New District",4.72136709178865,"4.7"
"2017-18","Mover - Same District",5.77998366526356,"5.8"
"2017-18","Retired",2.78947037758372,"2.8"
"2017-18","Stayer",78.6046365521141,"78.6"
"2017-18","Switcher",2.74235094552994,"2.7"
"2018-19","Exiter",5.32895764963276,"5.3"
"2018-19","Mover - New District",4.9288951398656,"4.9"
"2018-19","Mover - Same District",5.69151429910924,"5.7"
"2018-19","Retired",2.57540240662604,"2.6"
"2018-19","Stayer",78.7279262384748,"78.7"
"2018-19","Switcher",2.74730426629161,"2.7"
"2019-20","Exiter",5.00714862932803,"5.0"
"2019-20","Mover - New District",4.50674457636601,"4.5"
"2019-20","Mover - Same District",5.30863430098838,"5.3"
"2019-20","Retired",2.54553366071984,"2.5"
"2019-20","Stayer",79.6326226145335,"79.6"
"2019-20","Switcher",2.99931621806428,"3.0"
"2020-21","Exiter",4.74191542288557,"4.7"
"2020-21","Mover - New District",3.98320895522388,"4.0"
"2020-21","Mover - Same District",6.50186567164179,"6.5"
"2020-21","Retired",2.78606965174129,"2.8"
"2020-21","Stayer",79.2661691542289,"79.3"
"2020-21","Switcher",2.72077114427861,"2.7"
"2021-22","Exiter",4.63465294354714,"4.6"
"2021-22","Mover - New District",5.29497473416623,"5.3"
"2021-22","Mover - Same District",6.91942834113526,"6.9"
"2021-22","Retired",2.51418296803795,"2.5"
"2021-22","Stayer",76.4485228012524,"76.4"
"2021-22","Switcher",4.18823821186099,"4.2"
"2022-23","Exiter",6.40463132236441,"6.4"
"2022-23","Mover - New District",6.70627666057282,"6.7"
"2022-23","Mover - Same District",5.69165143205363,"5.7"
"2022-23","Retired",2.6782449725777,"2.7"
"2022-23","Stayer",74.1986593540524,"74.2"
"2022-23","Switcher",4.32053625837904,"4.3"
"2023-24","Exiter",6.47629541211398,"6.5"
"2023-24","Mover - New District",5.741743947602,"5.7"
"2023-24","Mover - Same District",5.5948336546996,"5.6"
"2023-24","Retired",2.40565604627674,"2.4"
"2023-24","Stayer",75.7291953600833,"75.7"
"2023-24","Switcher",4.05227557922444,"4.1"
"2024-25","Exiter",6.28184416552753,"6.3"
"2024-25","Mover - New District",5.66360134211507,"5.7"
"2024-25","Mover - Same District",5.29700509506648,"5.3"
"2024-25","Retired",2.70287063501926,"2.7"
"2024-25","Stayer",76.3203678389462,"76.3"
"2024-25","Switcher",3.73431092332546,"3.7"
"2025-26","Exiter",6.42687944146615,"6.4"
"2025-26","Mover - New District",4.94950754270041,"4.9"
"2025-26","Mover - Same District",5.31417528986411,"5.3"
"2025-26","Retired",2.67111332751527,"2.7"
"2025-26","Stayer",77.1132028425383,"77.1"
"2025-26","Switcher",3.52512155591572,"3.5"
